cpd_id,master_cpd_id,cpd_name,broad_cpd_id,top_test_conc_umol,cpd_status,inclusion_rationale,gene_symbol_of_protein_target,target_or_activity_of_compound,source_name,source_catalog_id,cpd_smiles
NAVITOCLAX:BIRINAPANT (1:1 MOL/MOL),660172,NAVITOCLAX:BIRINAPANT (1:1 MOL/MOL),BRD-M41956198,33.0,probe,combination,BCL2;BCL2L1;BCL2L2;DIABLO;XIAP,"inhibitor of BCL2, BCL-xL, and BCL-W;SMAC mimetic; inhibitor of inhibitor of apoptosis proteins (IAPs)",,,CC[C@H](NC(=O)[C@H](C)NC)C(=O)N1C[C@@H](O)C[C@H]1Cc1c([nH]c2cc(F)ccc12)-c1cc2c(C[C@@H]3C[C@H](O)CN3C(=O)[C@H](CC)NC(=O)[C@H](C)NC)cc(F)cc2[nH]1.CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
NAVITOCLAX:GEMCITABINE (1:1 MOL/MOL),660225,NAVITOCLAX:GEMCITABINE (1:1 MOL/MOL),BRD-M68535767,33.0,probe,combination,BCL2;BCL2L1;BCL2L2;CMPK1;RRM1;TYMS,"inhibitor of BCL2, BCL-xL, and BCL-W;inhibitor of DNA replication; inhibitor of ribonucleotide reductase, thymidylate synthetase, and cytidine monophosphate (UMP-CMP) kinase ",,,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1.CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
NAVITOCLAX:MST-312 (1:1 MOL/MOL),660222,NAVITOCLAX:MST-312 (1:1 MOL/MOL),BRD-M71072276,33.0,probe,combination,BCL2;BCL2L1;BCL2L2;TERT,"inhibitor of BCL2, BCL-xL, and BCL-W;inhibitor of telomerase reverse transcriptase",,,Oc1cccc(C(=O)Nc2cccc(NC(=O)c3cccc(O)c3O)c2)c1O.CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
NAVITOCLAX:PIPERLONGUMINE (1:1 MOL/MOL),660284,NAVITOCLAX:PIPERLONGUMINE (1:1 MOL/MOL),BRD-M43334969,33.0,probe,combination,BCL2;BCL2L1;BCL2L2,"inhibitor of BCL2, BCL-xL, and BCL-W;natural product; modulator of ROS levels",,,COc1cc(\C=C\C(=O)N2CCC=CC2=O)cc(OC)c1OC.CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
NAVITOCLAX:PLURIPOTIN (1:1 MOL/MOL),660246,NAVITOCLAX:PLURIPOTIN (1:1 MOL/MOL),BRD-M07227555,33.0,probe,combination,BCL2;BCL2L1;BCL2L2;MAPK1;RASAL1,"inhibitor of BCL2, BCL-xL, and BCL-W;promoter of embryonic stem cell self-renewal; inhibitor of Ras-GAP and ERK",,,CN1C(=O)N(Cc2cnc(Nc3cc(C)nn3C)nc12)c1cc(NC(=O)c2cccc(c2)C(F)(F)F)ccc1C.CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
NAVITOCLAX:PLX-4032 (1:1 MOL/MOL),660219,NAVITOCLAX:PLX-4032 (1:1 MOL/MOL),BRD-M55709992,33.0,probe,combination,BCL2;BCL2L1;BCL2L2;BRAF,"inhibitor of BCL2, BCL-xL, and BCL-W;inhibitor of BRAF",,,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(cc23)-c2ccc(Cl)cc2)c1F.CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
NAVITOCLAX:SORAFENIB (1:1 MOL/MOL),660283,NAVITOCLAX:SORAFENIB (1:1 MOL/MOL),BRD-M03799014,50.0,probe,combination,BCL2;BCL2L1;BCL2L2;BRAF;FLT3;KDR;RAF1,"inhibitor of BCL2, BCL-xL, and BCL-W;inhibitor of BRAF, CRAF, and VEGFR2",,,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1.CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
NECROSTATIN-1,375435,NECROSTATIN-1,BRD-A36318220,530.0,probe,pilot-set,RIPK1,inhibitor of receptor-interacting protein kinase 1; inhibitor of the necroptosis cell death pathway,Sigma-Aldrich,N9037,CN1C(=S)NC(Cc2c[nH]c3ccccc23)C1=O
NECROSTATIN-7,660201,NECROSTATIN-7,BRD-K50145167,66.0,probe,lit-search,,inhibitor of necroptosis,Cayman,10528,Fc1ccc(cc1)-c1n[nH]cc1C=C1SC(=N)N(C1=O)c1nccs1
NECROSULFONAMIDE,677522,NECROSULFONAMIDE,BRD-K64117221,66.0,probe,lit-search,,inhibitor of downstream signaling of RIP3 associated with MLKL,Toronto Research Chemicals,N388600,COc1nccnc1NS(=O)(=O)c1ccc(NC(=O)\C=C\c2ccc(s2)[N+]([O-])=O)cc1
NELARABINE,660391,NELARABINE,BRD-K84466663,66.0,FDA,CTEP;std-of-care,POLA1,deoxyguanosine analog; inhibitor of DNA synthesis,Selleck,S1213,COc1nc(N)nc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
NEOPELTOLIDE,411774,NEOPELTOLIDE,BRD-K62479592,33.0,probe,pilot-set,,inhibitor of cellular respiration,Boston University,,CCC[C@H]1C[C@H](C[C@H](C)C[C@@H]2C[C@H](C[C@H](CC(=O)O1)O2)OC(=O)\C=C/CCc1coc(\C=C/CNC(=O)OC)n1)OC
NERATINIB,418038,NERATINIB,BRD-K85606544,33.0,clinical,kinome;pilot-set,EGFR;ERBB2,inhibitor of EGFR and HER2,WuXi AppTec,HKI-272,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)C
NEURONAL DIFFERENTIATION INDUCER III,411733,NEURONAL DIFFERENTIATION INDUCER III,BRD-K53903639,270.0,probe,chromatin;pilot-set,,induction of rat HCN cell differentiation as judged by induction of neuronal reporter neuroD activity,EMD Biosciences,BRD3639,O=C(NC1CC1)c1cc(on1)-c1cccs1
NICLOSAMIDE,32653,NICLOSAMIDE,BRD-K35960502,33.0,FDA,lit-search,STAT3,inhibitor of STAT3 signaling,Sigma-Aldrich,N3510,Oc1ccc(Cl)cc1C(=O)Nc1ccc(cc1Cl)[N+]([O-])=O
NILOTINIB,374749,NILOTINIB,BRD-K81528515,66.0,FDA,kinome;std-of-care,ABL1;BCR;KIT,"inhibitor of ABL1, BCR, and c-KIT",Selleck,S1033,Cc1cn(cn1)-c1cc(NC(=O)c2ccc(C)c(Nc3nccc(n3)-c3cccnc3)c2)cc(c1)C(F)(F)F
NINTEDANIB,628601,NINTEDANIB,BRD-K49075727,66.0,clinical,kinome,FGFR1;FGFR2;FGFR3;FLT1;FLT3;KDR;PDGFRA;PDGFRB,"inhibitor of c-KIT, VEGFRs, PDGFRs, and FGFRs",Selleck,S1010,COC(=O)c1ccc2c(NC(=O)\C2=C(/Nc2ccc(cc2)N(C)C(=O)CN2CCN(C)CC2)c2ccccc2)c1
NPC-26,609058,NPC-26,BRD-K36852164,40.0,probe,pilot-set,,"induces cell death through a non-apoptotic, mitochondrial-dependent mechanism",Columbia University,,CCOC(=O)c1c(NC(=O)c2ccc(s2)[N+]([O-])=O)sc2c1CC(C)(C)NC2(C)C
NSC 74859,411734,NSC 74859,BRD-K40853697,530.0,probe,chromatin;pilot-set,STAT3,inhibitor of STAT3,Selleck,S1155,Cc1ccc(cc1)S(=O)(=O)OCC(=O)Nc1ccc(C(O)=O)c(O)c1
NSC19630,580922,NSC19630,BRD-K39706510,66.0,probe,lit-search,WRN,inhibitor of Werner syndrome helicase activity,EMD Biosciences,681467,CCC(=O)OCN1C(=O)C=CC1=O
NSC23766,44503,NSC23766,BRD-A80213327,530.0,probe,pilot-set,RAC1;TIAM1;TRIO,inhibitor of RAC1-GEF interaction; prevents Rac1 activation by Rac-specific guanine nucleotide exchange factors (GEFs) TrioN and Tiam1,Cayman,13196,CCN(CC)CCCC(C)Nc1nc(C)cc(Nc2ccc3nc(C)cc(N)c3c2)n1
NSC30930,182395,NSC30930,BRD-K29711668,66.0,probe,outreach,SRD5A2,inhibitor of steroid 5-alpha reductase,National Cancer Institute Chemotherapeutic Agents Repository,,OC(=O)c1cc2cc(OCc3ccccc3)ccc2[nH]1
NSC48300,594399,NSC48300,BRD-K45748132,66.0,probe,outreach,TASP1,inhibitor of threonine endopeptidase taspase 1,National Cancer Institute Chemotherapeutic Agents Repository,,O[As](O)(=O)c1ccc(Cc2ccc(cc2)[As](O)(O)=O)cc1
NSC632839,375594,NSC632839,BRD-K37392901,33.0,probe,pilot-set,USP13;USP5,inhibitor of ubiquitin isopeptidase,,,Cc1ccc(C=C2CNCC(=Cc3ccc(C)cc3)C2=O)cc1
NSC95397,50715,NSC95397,BRD-K68143200,33.0,probe,pilot-set,CDC25A;CDC25B;CDC25C,inhibitor of cell division cycle 25 phosphatase (CDC25),Sigma-Aldrich,N1786,OCCSC1=C(SCCO)C(=O)c2ccccc2C1=O
NUTLIN-3,411722,NUTLIN-3,BRD-A12230535,150.0,clinical,pilot-set,MDM2,inhibitor of p53-MDM2 interaction,Selleck,S1061,COc1ccc(C2=NC(C(N2C(=O)N2CCNC(=O)C2)c2ccc(Cl)cc2)c2ccc(Cl)cc2)c(OC(C)C)c1
NVP-231,660331,NVP-231,BRD-A12571627,66.0,probe,kinome,CERK,inhibitor of ceramide kinase,Tocris Bioscience,3960,O=C(Nc1nc2ccc(NC(=O)C34C[C@H]5C[C@H](C[C@H](C5)C3)C4)cc2s1)c1ccccc1
NVP-ADW742,660287,NVP-ADW742,BRD-K15179513,66.0,probe,kinome,IGF1R,inhibitor of insulin-like growth factor 1 receptor,Selleck,S1088,Nc1ncnc2n(cc(-c3cccc(OCc4ccccc4)c3)c12)[C@H]1C[C@H](CN2CCCC2)C1
NVP-BEZ235,348992,NVP-BEZ235,BRD-K12184916,17.0,clinical,kinome;outreach;pilot-set,MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG,inhibitor of PI3K and mTOR kinase activity,Spanish National Cancer Research Centre,,Cn1c2cnc3ccc(cc3c2n(-c2ccc(cc2)C(C)(C)C#N)c1=O)-c1cnc2ccccc2c1
NVP-BSK805,660434,NVP-BSK805,BRD-K02017404,66.0,probe,kinome,JAK2,inhibitor of Janus kinase 2,Selleck,S2686,Fc1cc(cc(F)c1CN1CCOCC1)-c1cccc2ncc(nc12)-c1cnn(c1)C1CCNCC1
NVP-TAE684,606249,NVP-TAE684,BRD-K50140147,66.0,probe,kinome,ALK,inhibitor of ALK and ALK-NPM fusion protein,Selleck,S1108,COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1)N1CCC(CC1)N1CCN(C)CC1
O-6-BENZYLGUANINE,345712,O-6-BENZYLGUANINE,BRD-K92041145,66.0,clinical,CTEP,MGMT,inhibitor of O(6)-alkylguanine DNA alkyltransferases,Sigma-Aldrich,B2292,Nc1nc(OCc2ccccc2)c2[nH]cnc2n1
OBATOCLAX,606142,OBATOCLAX,BRD-K15600710,66.0,clinical,CTEP,BCL2;BCL2L1;MCL1,"inhibitor of MCL1, BCL2, and BCL-xL",Selleck,S1057,COC1=CC(=N\C\1=C/c1[nH]c(C)cc1C)c1cc2ccccc2[nH]1
OLAPARIB,411867,OLAPARIB,BRD-K02113016,150.0,clinical,chromatin;pilot-set,PARP1;PARP2,inhibitor of poly (ADP-ribose) polymerase 1 and 2,Selleck,S1060,Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1
OLIGOMYCIN A,411869,OLIGOMYCIN A,BRD-A81541225,33.0,probe,pilot-set,ATP5L2,inhibitor of mitochondrial ATP synthase,Sigma-Aldrich,75351,CCC1CCC2OC3(CC[C@@H](C)C(C[C@H](C)O)O3)[C@H](C)C(OC(=O)\C=C\[C@@H](C)[C@H](O)[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H](C)C(=O)[C@@](C)(O)[C@H](O)[C@@H](C)C\C=C\C=C\1)[C@H]2C
OMACETAXINE MEPESUCCINATE,375219,OMACETAXINE MEPESUCCINATE,BRD-K76674262,66.0,FDA,lit-search,,inhibitor of protein translation by preventing protein elongation,Tocris Bioscience,1416,COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@H]1[C@H]2c3cc4OCOc4cc3CCN3CCC[C@]23C=C1OC
OSI-027,660433,OSI-027,BRD-K87124298,66.0,clinical,lit-search,MTOR,inhibitor of mTORC1 and mTORC2,Selleck,S2624,COc1cccc2cc([nH]c12)-c1nc([C@H]2CC[C@@H](CC2)C(O)=O)n2ncnc(N)c12
OSI-930,628620,OSI-930,BRD-K25340465,66.0,clinical,kinome,KDR;KIT,inhibitor of c-KIT and VEGFR2,Selleck,S1220,FC(F)(F)Oc1ccc(NC(=O)c2sccc2NCc2ccnc3ccccc23)cc1
OUABAIN,37190,OUABAIN,BRD-K35708212,270.0,probe,lit-search,ATP1A1;ATP1A2;ATP1A3;ATP1A4;ATP1B1;ATP1B2;ATP1B3;ATP1B4,cardiac glycoside; inhibitor of the Na+/K+-ATPase,Tocris Bioscience,1076,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)C2=CC(=O)OC2)[C@H](O)[C@H](O)[C@H]1O
OXALIPLATIN,375582,OXALIPLATIN,BRD-M14820059,66.0,FDA,std-of-care,,DNA alkylator; organoplatinum reagent,Selleck,S1224,O=C1O[Pt]2(NC3CCCCC3N2)OC1=O
PAC-1,411832,PAC-1,BRD-K92991072,33.0,probe,pilot-set,CASP3,activator of procaspase-3,Tocris Bioscience,2581,Oc1c(CC=C)cccc1\C=N\NC(=O)CN1CCN(Cc2ccccc2)CC1
PACLITAXEL,26956,PACLITAXEL,BRD-A28746609,66.0,FDA,std-of-care,,inhibitor of microtubule assembly,Selleck,S1150,CC(=O)O[C@@H]1C2=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)c3ccccc3)C3[C@@]4(CO[C@@H]4C[C@H](O)[C@@]3(C)C1=O)OC(C)=O)C2(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)c1ccccc1)c1ccccc1
PALMOSTATIN B,679844,PALMOSTATIN B,BRD-K42137908,66.0,probe,lit-search,LYPLA1,inhibitor of acyl-protein thioesterase 1,EMD Biosciences,178501,CCCCCCCCCC[C@H]1[C@H](CCc2ccc(OC)c(OC)c2)OC1=O
PANDACOSTAT,417098,PANDACOSTAT,BRD-K44741158,33.0,probe,chromatin;pilot-set,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8",Harvard Medical School,,ONC(=O)\C=C\c1ccc(cc1)C(=O)N\N=C\c1ccc(O)c(O)c1O
PARBENDAZOLE,28172,PARBENDAZOLE,BRD-K02407574,66.0,probe,pilot-set,,inhibitor of microtubule assembly,Sigma-Aldrich,PH009945,CCCCc1ccc2[nH]c(NC(=O)OC)nc2c1
PARTHENOLIDE,411792,PARTHENOLIDE,BRD-K81651477,66.0,probe,pilot-set,,natural product; modulator of ROS; modulator of NF-kappa-B signaling,Tocris Bioscience;Tocris Bioscience,607;0610,C\C1=C\CC[C@@]2(C)O[C@@H]2[C@H]2OC(=O)C(=C)[C@@H]2CC1
PAZOPANIB,640265,PAZOPANIB,BRD-K74514084,66.0,FDA,CTEP;kinome;std-of-care,FLT1;FLT3;KDR;KIT;PDGFRB,"inhibitor of VEGFRs, c-KIT, and PDGFRB",Selleck,S1035,CN(c1ccc2c(C)n(C)nc2c1)c1ccnc(Nc2ccc(C)c(c2)S(N)(=O)=O)n1
PD 153035,52133,PD 153035,BRD-K26603252,33.0,probe,kinome,EGFR,inhibitor of EGFR,Selleck,S1079,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC
PD318088,660410,PD318088,BRD-A57798112,66.0,probe,kinome,MAP2K1;MAP2K2,inhibitor of MEK1 and MEK2,Selleck,S1568,OCC(O)CONC(=O)c1cc(Br)c(F)c(F)c1Nc1ccc(I)cc1F
PDMP,58472,PDMP,BRD-K05653692,210.0,probe,pilot-set,UGCG,inhibitor of ceramide glucosyltransferase,Enzo Life Sciences,BML-SL210,CCCCCCCCCC(=O)N[C@H](CN1CCOCC1)[C@H](O)c1ccccc1
PEVONEDISTAT,411809,PEVONEDISTAT,BRD-K67844266,37.0,clinical,pilot-set,NAE1,inhibitor of Nedd-8 activating enzyme,WuXi AppTec,TH02333-012,NS(=O)(=O)OC[C@@H]1C[C@H](C[C@@H]1O)n1ccc2c(N[C@H]3CCc4ccccc34)ncnc12
PF-184,660208,PF-184,BRD-K11593101,66.0,probe,kinome,IKBKB,inhibitor of IKK-2,Tocris Bioscience,4238,C[C@@]1(CO)CN(C[C@]1(C)CO)c1cc(C(=O)Nc2ccc3CCc4c(nn(c4-c3c2)-c2ccc(F)cc2)C(N)=O)c(Cl)cn1
PF-3758309,687953,PF-3758309,BRD-K37764012,66.0,probe,kinome,PAK4,inhibitor of serine/threonine p21-activating kinase 4,Broad Institute of MIT and Harvard,,CN(C)C[C@@H](NC(=O)N1Cc2c(Nc3nc(C)nc4ccsc34)n[nH]c2C1(C)C)c1ccccc1
PF-4800567 HYDROCHLORIDE,688962,PF-4800567 HYDROCHLORIDE,BRD-K43428468,66.0,probe,kinome,CSNK1D;CSNK1E,inhibitor of casein kinase isoforms delta and epsilon,Tocris Bioscience,4281,Nc1ncnc2n(nc(COc3cccc(Cl)c3)c12)C1CCOCC1
PF-543,660073,PF-543,BRD-K79877282,33.0,probe,kinome,SPHK1,inhibitor of sphingosine kinase-1,Pfizer,,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CN3CCC[C@@H]3CO)cc2)c1
PF-573228,660075,PF-573228,BRD-K79239947,66.0,probe,kinome,PTK2,inhibitor of focal adhesion kinase,Axon Medchem,Axon 1623,CS(=O)(=O)c1cccc(CNc2nc(Nc3ccc4NC(=O)CCc4c3)ncc2C(F)(F)F)c1
PF-750,411719,PF-750,BRD-K83213911,270.0,probe,pilot-set,FAAH,inhibitor of fatty acid amide hydrolase,Cayman,10010908,O=C(Nc1ccccc1)N1CCC(Cc2cnc3ccccc3c2)CC1
PHA-793887,640007,PHA-793887,BRD-K64800655,66.0,clinical,chromatin;kinome,CDK1;CDK2;CDK4;CDK5;CDK7;CDK9,inhibitor of cyclin-dependent kinases,Selleck,S1487,CC(C)CC(=O)Nc1n[nH]c2c1CN(C(=O)C1CCN(C)CC1)C2(C)C
PHLORETIN,24173,PHLORETIN,BRD-K15563106,590.0,probe,pilot-set,SLC5A1,natural product; inhibitor of glucose uptake,Sigma-Aldrich,P7912,Oc1ccc(CCC(=O)c2c(O)cc(O)cc2O)cc1
PI-103,411742,PI-103,BRD-K67868012,37.0,probe,kinome;pilot-set,MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PRKDC,"inhibitor of DNA-PK, PI3K p110 delta, mTORC1, and catalytic subunits of PI3K",Tocris Bioscience,2930,Oc1cccc(c1)-c1nc(N2CCOCC2)c2oc3ncccc3c2n1
PIFITHRIN-ALPHA,50747,PIFITHRIN-ALPHA,BRD-K66874953,230.0,probe,pilot-set,,inhibitor of p53-dependent signaling,Cayman,13326,Cc1ccc(cc1)C(=O)Cn1c2CCCCc2sc1=N
PIFITHRIN-MU,375596,PIFITHRIN-MU,BRD-K96799727,33.0,probe,pilot-set,HSPA1A;HSPA1B;HSPA1L;TP53,inhibitor of p53 binding to mitochondria; inhibitor of HSP70,Sigma-Aldrich,P0122,NS(=O)(=O)C#Cc1ccccc1
PIK-93,660774,PIK-93,BRD-K29395450,66.0,probe,kinome,PIK3CG,inhibitor of PI3K catalytic subunit gamma,Selleck,S1489,CC(=O)Nc1nc(C)c(s1)-c1ccc(Cl)c(c1)S(=O)(=O)NCCO
PIPERLONGUMINE,39782,PIPERLONGUMINE,BRD-K24132293,33.0,probe,pilot-set,,natural product; modulator of ROS levels,Broad Institute of MIT and Harvard,,COc1cc(cc(OC)c1OC)\C=C\C(=O)N1CCC=CC1=O
PIPERLONGUMINE:MST-312 (1:1 MOL/MOL),660224,PIPERLONGUMINE:MST-312 (1:1 MOL/MOL),BRD-M37545453,33.0,probe,combination,TERT,natural product; modulator of ROS levels;inhibitor of telomerase reverse transcriptase,,,COc1cc(\C=C\C(=O)N2CCC=CC2=O)cc(OC)c1OC.Oc1cccc(C(=O)Nc2cccc(NC(=O)c3cccc(O)c3O)c2)c1O
PITSTOP2,660985,PITSTOP2,BRD-K90570971,66.0,probe,lit-search,CLTA;CLTB;CLTC;CLTCL1,inhibitor of clathrin and clathrin-independent endocytosis,Cellagen Technology,C7487-2,Brc1ccc(cc1)\C=C1/SC(NS(=O)(=O)c2cccc3ccccc23)=NC1=O
PL-DI,609440,PL-DI,BRD-K83336168,66.0,probe,pilot-set,,dimer of piperlongumine; inducer of ROS,Broad Institute of MIT and Harvard,,COc1cc(\C=C\C(=O)N2CCC=CC2=O)cc(OC)c1OCCN(C)CCOc1c(OC)cc(\C=C\C(=O)N2CCC=CC2=O)cc1OC
PLATIN,375395,PLATIN,BRD-K69172251,66.0,FDA,std-of-care,,DNA alkylator; organoplatinum reagent,Selleck,S1166,N[Pt](N)(Cl)Cl
PLURIPOTIN,411833,PLURIPOTIN,BRD-K98538768,33.0,probe,pilot-set,MAPK1;RASAL1,promoter of embryonic stem cell self-renewal; inhibitor of Ras-GAP and ERK,Cayman,10009557,CN1C(=O)N(Cc2cnc(Nc3cc(C)nn3C)nc12)c1cc(NC(=O)c2cccc(c2)C(F)(F)F)ccc1C
PLX-4032,649420,PLX-4032,BRD-K56343971,33.0,FDA,kinome;pilot-set;std-of-care,BRAF,inhibitor of BRAF,Selleck;Sequoia Research Products,S1267;S1267,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(cc23)-c2ccc(Cl)cc2)c1F
PLX-4720,606256,PLX-4720,BRD-K16478699,33.0,probe,kinome,BRAF,inhibitor of BRAF,Selleck,S1152,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F
PRIMA-1,50131,PRIMA-1,BRD-K15318909,170.0,probe,pilot-set,TP53,re-activator of the pro-apoptotic activity of mutant p53,Tocris Bioscience,1862,OCC1(CO)N2CCC(CC2)C1=O
PRIMA-1-MET,594663,PRIMA-1-MET,BRD-K49456190,33.0,probe,pilot-set,TP53,re-activator of the pro-apoptotic activity of mutant p53,Tocris Bioscience,3710,COC[C@]1(CO)[N@@]2CC[C@@H](CC2)C1=O
PRL-3 INHIBITOR I,411727,PRL-3 INHIBITOR I,BRD-K09907482,130.0,probe,pilot-set,PTP4A3,inhibitor of phosphatase of regenerating liver-3 (PRL3),Sigma-Aldrich;EMD Biosciences,P0108;539808,Brc1ccc(OCc2ccccc2Br)c(\C=C2\SC(=S)NC2=O)c1
PROCARBAZINE,28183,PROCARBAZINE,BRD-K13032584,66.0,FDA,std-of-care,,inducer of DNA damage,Selleck,S1995,CNNCc1ccc(cc1)C(=O)NC(C)C
PROCHLORPERAZINE,33166,PROCHLORPERAZINE,BRD-K19352500,66.0,FDA,lit-search,DRD2,inhibitor of dopamine receptor D2,Tocris Bioscience,3287,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc23)CC1
PURMORPHAMINE,52576,PURMORPHAMINE,BRD-K73397362,150.0,probe,pilot-set,SMO,activator of smoothened receptor,Tocris Bioscience;Cayman,10009634;10009634,C1CCC(CC1)n1cnc2c(Nc3ccc(cc3)N3CCOCC3)nc(Oc3cccc4ccccc34)nc12
PX-12,609124,PX-12,BRD-A56592690,100.0,clinical,pilot-set,TXN,inhibitor of thioredoxin-1,Sigma-Aldrich,M5324,CCC(C)SSc1ncc[nH]1
PYR-41,660202,PYR-41,BRD-K60750172,66.0,probe,lit-search,UBA1,inhibitor of ubiquitin-activating enzyme in cells,Tocris Bioscience;Tocris Bioscience,4088;2978,CCOC(=O)c1ccc(cc1)N1NC(=O)C(=Cc2ccc(o2)[N+]([O-])=O)C1=O
PYRAZOLANTHRONE,44511,PYRAZOLANTHRONE,BRD-K01567962,66.0,probe,kinome,MAPK10;MAPK8;MAPK9,inhibitor of Jun N-terminal kinase (JNK) 1/2/3,Selleck,S1460,O=C1c2ccccc2-c2n[nH]c3cccc1c23
QS-11,609681,QS-11,BRD-K02526760,33.0,probe,pilot-set,ARFGAP1,inhibitor of GTPase activating protein of ARF 1 (ARFGAP1),Tocris Bioscience,3324,OC[C@H](Cc1ccccc1)Nc1nc(Oc2ccc3CCCc3c2)nc2n(Cc3ccc(cc3)-c3ccccc3)cnc12
QUIZARTINIB,640011,QUIZARTINIB,BRD-K93918653,66.0,clinical,kinome,FLT3,inhibtor of VEGFR3,Selleck,S1526,CC(C)(C)c1cc(NC(=O)Nc2ccc(cc2)-c2cn3c(n2)sc2cc(OCCN4CCOCC4)ccc32)no1
QW-BI-011,362063,QW-BI-011,BRD-K72264770,33.0,probe,chromatin;pilot-set,EHMT2,inhibitor of G9a histone methyltransferase,Broad Institute of MIT and Harvard,,COC(=O)c1ccc2n(CCCc3ccccc3)c(NC(=O)c3ccccc3)nc2c1
R428,660993,R428,BRD-K14870255,66.0,probe,kinome,AXL,inhibitor of the tyrosine-protein kinase receptor UFO,Symansis Cell Signaling Science,SY-R428/10,Nc1nc(Nc2ccc3CC[C@@H](CCc3c2)N2CCCC2)nn1-c1cc2CCCc3ccccc3-c2nn1
RAF265,660414,RAF265,BRD-K93123848,66.0,clinical,kinome,BRAF;KDR,ihibitor of VEGFR2 and BRAF,Selleck,S2161,Cn1c(Nc2ccc(cc2)C(F)(F)F)nc2cc(Oc3ccnc(c3)-c3ncc([nH]3)C(F)(F)F)ccc12
REGORAFENIB,628613,REGORAFENIB,BRD-K16730910,66.0,FDA,kinome,BRAF;KDR;KIT;RET,"inhibitor of BRAF, RET, KIT, and VEGFR2",Selleck,S1178,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)c(F)c2)ccn1
REPLIGEN 136,628408,REPLIGEN 136,BRD-K47503321,66.0,probe,chromatin;outreach,HDAC3,inhibitor of HDAC3,Stanley Center for Psychiatric Research at the Broad Institute,,Cc1ccc(cc1)C(=O)NCCCCCC(=O)Nc1ccc(F)cc1N
